game;fixture;id;team_home;team_away;date;link;home_score;away_score
JUV X CAG 19-08-2017;1;7497930;JUV;CAG;19-08-2017;https://www.sofascore.com/pt/cagliari-juventus/Mdbsueb;3;0
HEL X NAP 19-08-2017;1;7497928;HEL;NAP;19-08-2017;https://www.sofascore.com/pt/napoli-hellas-verona/bebsoeb;1;3
ATT X ROM 20-08-2017;1;7497934;ATT;ROM;20-08-2017;https://www.sofascore.com/pt/roma-atalanta/Ldbsceb;0;1
BGN X TOR 20-08-2017;1;7497927;BGN;TOR;20-08-2017;https://www.sofascore.com/pt/torino-bologna/KdbsWdb;1;1
CRO X MIL 20-08-2017;1;7497931;CRO;MIL;20-08-2017;https://www.sofascore.com/pt/crotone-milan/Rdbsteb;0;3
INT X FIO 20-08-2017;1;7497932;INT;FIO;20-08-2017;https://www.sofascore.com/pt/inter-fiorentina/TdbsXdb;3;0
LAZ X SPA 20-08-2017;1;7497933;LAZ;SPA;20-08-2017;https://www.sofascore.com/pt/lazio-spal/ZdbsfAV;0;0
SAM X BEM 20-08-2017;1;7497936;SAM;BEM;20-08-2017;https://www.sofascore.com/pt/benevento-sampdoria/lebsjfb;2;1
SAS X GEN 20-08-2017;1;7497935;SAS;GEN;20-08-2017;https://www.sofascore.com/pt/sassuolo-genoa/nebsTfb;0;0
UDI X CHV 20-08-2017;1;7497929;UDI;CHV;20-08-2017;https://www.sofascore.com/pt/udinese-chievoverona/UdbsVdb;1;2
BEM X BGN 26-08-2017;2;7497940;BEM;BGN;26-08-2017;https://www.sofascore.com/pt/benevento-bologna/Kdbsjfb;0;1
GEN X JUV 26-08-2017;2;7497946;GEN;JUV;26-08-2017;https://www.sofascore.com/pt/genoa-juventus/Mdbsneb;2;4
ROM X INT 26-08-2017;2;7497947;ROM;INT;26-08-2017;https://www.sofascore.com/pt/roma-inter/Xdbsceb;1;3
TOR X SAS 27-08-2017;2;7497948;TOR;SAS;27-08-2017;https://www.sofascore.com/pt/sassuolo-torino/WdbsTfb;3;0
